Concern-overloadorg.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-3, Pushpull-topic-5];org.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-3, Pushpull-topic-5];[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Feature Envy -> RetrievalSetup.createPropFilesConfig, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Concern-overloadorg.apache.oodt.cas.pushpull.protocol -> [Pushpull-topic-2, Pushpull-topic-0];org.apache.oodt.cas.pushpull.protocol -> [Pushpull-topic-2, Pushpull-topic-0];[Dispersed Coupling -> ProtocolHandler.delete, Shotgun Surgery -> RemoteSiteFile.getSite, Shotgun Surgery -> ProtocolFile.getName]
Concern-overloadorg.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-6, Pushpull-topic-0];org.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-6, Pushpull-topic-0];[Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Intensive Coupling -> ClassNoaaEmailParser.parse]
Concern-overloadorg.apache.oodt.cas.pushpull.config -> [Pushpull-topic-1, Pushpull-topic-3, Pushpull-topic-5, Pushpull-topic-2];org.apache.oodt.cas.pushpull.config -> [Pushpull-topic-1, Pushpull-topic-3, Pushpull-topic-5, Pushpull-topic-2];[Dispersed Coupling -> SiteInfo.getPossibleRemoteSites, Dispersed Coupling -> ParserInfo.loadParserInfo, Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Feature Envy -> Config.loadMetadataListToOutput]
HierarchicalShotgun SurgeryProtocolFile;Shotgun Surgery -> ProtocolFile;[Shotgun Surgery -> ProtocolFile.isDir, Shotgun Surgery -> RemoteSiteFile.getSite, Shotgun Surgery -> ProtocolFile.getName, Shotgun Surgery -> ProtocolFile.getPath]
HierarchicalDispersed CouplingProtocolCliAction;Dispersed Coupling -> ProtocolCliAction;[Dispersed Coupling -> BasicVerifyCliAction.execute, Dispersed Coupling -> DeleteEmptyDirectoriesCliAction.execute]
Intra-classImapsProtocol;ImapsProtocol;[Dispersed Coupling -> ImapsProtocol.ls, Dispersed Coupling -> ImapsProtocol.getContentFromHTML, Feature Envy -> ImapsProtocol.getMessageName, Feature Envy -> ImapsProtocol.openFolder, Feature Envy -> ImapsProtocol.getContentFromPlainText, God Class -> ImapsProtocol, Intensive Coupling -> ImapsProtocol.getMessageName]
Intra-classProtocolHandler;ProtocolHandler;[Data Class -> ProtocolHandler, Dispersed Coupling -> ProtocolHandler.download, Dispersed Coupling -> ProtocolHandler.nextPage, Dispersed Coupling -> ProtocolHandler.getAppropriateProtocolBySite, Dispersed Coupling -> ProtocolHandler.delete, Dispersed Coupling -> ProtocolHandler.connect, Feature Envy -> ProtocolHandler.passesDynamicDetection, God Class -> ProtocolHandler]
Intra-classTestProtocolManager;TestProtocolManager;[Feature Envy -> TestProtocolManager.testVerifier, Feature Envy -> TestProtocolManager.testProtocolFactoryMapping]
Intra-classHttpProtocol;HttpProtocol;[Dispersed Coupling -> HttpProtocol.parseLink, Dispersed Coupling -> HttpProtocol.get]
Intra-classRemoteSpecs;RemoteSpecs;[Brain Method -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo]
Intra-classCommonsNetFtpProtocol;CommonsNetFtpProtocol;[Feature Envy -> CommonsNetFtpProtocol.delete, Feature Envy -> CommonsNetFtpProtocol.get, Feature Envy -> CommonsNetFtpProtocol.cd]
Intra-classRenamingConvention;RenamingConvention;[Dispersed Coupling -> RenamingConvention.grepRemoveReplace, Feature Envy -> RenamingConvention.getParentPath, Feature Envy -> RenamingConvention.getGrandParentPath, Feature Envy -> RenamingConvention.getParentFileName, Intensive Coupling -> RenamingConvention.grepReplace]
Intra-classJschSftpProtocol;JschSftpProtocol;[Dispersed Coupling -> JschSftpProtocol.ls, Feature Envy -> JschSftpProtocol.delete]
Intra-classFileRetrievalSystem;FileRetrievalSystem;[Brain Class -> FileRetrievalSystem, Brain Method -> FileRetrievalSystem.addToDownloadQueue, Data Class -> FileRetrievalSystem, Dispersed Coupling -> FileRetrievalSystem.modifyAvailableSessionForPath, Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue, Feature Envy -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.isAlreadyInDatabase, Feature Envy -> FileRetrievalSystem.getSaveToLoc, God Class -> FileRetrievalSystem, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Intra-classDaemon;Daemon;[Dispersed Coupling -> Daemon.startDaemon, Feature Envy -> Daemon.calculateTimeTilNextRun, God Class -> Daemon]
Intra-classTestHttpUtils;TestHttpUtils;[Feature Envy -> TestHttpUtils.testLazyLinkPattern, Feature Envy -> TestHttpUtils.testXhtmlLinkPattern]
Intra-classMethod;Method;[Brain Class -> Method, Brain Method -> Method.convert, Brain Method -> Method.execute, Data Class -> Method, Dispersed Coupling -> Method.convert, Dispersed Coupling -> Method.execute]
Intra-classCogJGlobusFtpProtocol;CogJGlobusFtpProtocol;[Dispersed Coupling -> CogJGlobusFtpProtocol.ls, Feature Envy -> CogJGlobusFtpProtocol.setActive, Feature Envy -> CogJGlobusFtpProtocol.delete]
Intra-classDirStructXmlParser;DirStructXmlParser;[Dispersed Coupling -> DirStructXmlParser.parseDirstructXML, Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Dispersed Coupling -> DirStructXmlParser.replaceVariablesAndMethods, Dispersed Coupling -> DirStructXmlParser.parseVariablesXML, Dispersed Coupling -> DirStructXmlParser.parse, God Class -> DirStructXmlParser]
Intra-classRetrievalSetup;RetrievalSetup;[Dispersed Coupling -> RetrievalSetup.startPropFileDownload, Dispersed Coupling -> RetrievalSetup.retrieveFiles, Feature Envy -> RetrievalSetup.createPropFilesConfig]
Intra-classConfig;Config;[Dispersed Coupling -> Config.loadIngester, Feature Envy -> Config.loadMetadataListToOutput, Feature Envy -> Config.loadConfigFile, God Class -> Config]
Intra-classProtocolFile;ProtocolFile;[Shotgun Surgery -> ProtocolFile.isDir, Shotgun Surgery -> ProtocolFile.getName, Shotgun Surgery -> ProtocolFile.getPath]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.config;Feature Envy -> org.apache.oodt.cas.pushpull.config;[Feature Envy -> Config.loadMetadataListToOutput, Feature Envy -> Config.loadConfigFile]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.protocol.cli.action;Dispersed Coupling -> org.apache.oodt.cas.pushpull.protocol.cli.action;[Dispersed Coupling -> BasicVerifyCliAction.execute, Dispersed Coupling -> DeleteEmptyDirectoriesCliAction.execute]
Intra-componentShotgun Surgeryorg.apache.oodt.cas.pushpull.protocol;Shotgun Surgery -> org.apache.oodt.cas.pushpull.protocol;[Shotgun Surgery -> ProtocolFile.isDir, Shotgun Surgery -> RemoteSiteFile.getSite, Shotgun Surgery -> ProtocolFile.getName, Shotgun Surgery -> ProtocolFile.getPath]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.protocol.cli.action;Feature Envy -> org.apache.oodt.cas.pushpull.protocol.cli.action;[Feature Envy -> TestProtocolCliAction.testInitialState, Feature Envy -> TestBasicVerifyCliAction.testVerification]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.retrievalsystem;Feature Envy -> org.apache.oodt.cas.pushpull.retrievalsystem;[Feature Envy -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.isAlreadyInDatabase, Feature Envy -> RetrievalSetup.createPropFilesConfig, Feature Envy -> FileRetrievalSystem.getSaveToLoc]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.filerestrictions.renamingconventions;Feature Envy -> org.apache.oodt.cas.pushpull.filerestrictions.renamingconventions;[Feature Envy -> RenamingConvention.getParentPath, Feature Envy -> RenamingConvention.getGrandParentPath, Feature Envy -> RenamingConvention.getParentFileName]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.protocol.http;Feature Envy -> org.apache.oodt.cas.pushpull.protocol.http;[Feature Envy -> TestHttpProtocol.testPWD, Feature Envy -> TestHttpFile.testInitialState]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.protocol.ftp;Feature Envy -> org.apache.oodt.cas.pushpull.protocol.ftp;[Feature Envy -> CommonsNetFtpProtocol.delete, Feature Envy -> CogJGlobusFtpProtocol.setActive, Feature Envy -> CogJGlobusFtpProtocol.delete, Feature Envy -> CommonsNetFtpProtocol.get, Feature Envy -> CommonsNetFtpProtocol.cd]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.config;Dispersed Coupling -> org.apache.oodt.cas.pushpull.config;[Dispersed Coupling -> Config.loadIngester, Dispersed Coupling -> SiteInfo.getPossibleRemoteSites, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> ParserInfo.loadParserInfo, Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.protocol.imaps;Feature Envy -> org.apache.oodt.cas.pushpull.protocol.imaps;[Feature Envy -> ImapsProtocol.getMessageName, Feature Envy -> ImapsProtocol.openFolder, Feature Envy -> ImapsProtocol.getContentFromPlainText]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.protocol;Dispersed Coupling -> org.apache.oodt.cas.pushpull.protocol;[Dispersed Coupling -> ProtocolHandler.download, Dispersed Coupling -> ProtocolHandler.nextPage, Dispersed Coupling -> ProtocolHandler.getAppropriateProtocolBySite, Dispersed Coupling -> ProtocolHandler.delete, Dispersed Coupling -> ProtocolHandler.connect]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.protocol.imaps;Dispersed Coupling -> org.apache.oodt.cas.pushpull.protocol.imaps;[Dispersed Coupling -> ImapsProtocol.ls, Dispersed Coupling -> ImapsProtocol.getContentFromHTML]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.retrievalsystem;Dispersed Coupling -> org.apache.oodt.cas.pushpull.retrievalsystem;[Dispersed Coupling -> FileRetrievalSystem.modifyAvailableSessionForPath, Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Dispersed Coupling -> RetrievalSetup.startPropFileDownload, Dispersed Coupling -> RetrievalSetup.retrieveFiles, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.protocol.http.util;Feature Envy -> org.apache.oodt.cas.pushpull.protocol.http.util;[Feature Envy -> TestHttpUtils.testLazyLinkPattern, Feature Envy -> TestHttpUtils.testXhtmlLinkPattern]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.expressions;Dispersed Coupling -> org.apache.oodt.cas.pushpull.expressions;[Dispersed Coupling -> Method.convert, Dispersed Coupling -> Method.execute]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.protocol.system;Feature Envy -> org.apache.oodt.cas.pushpull.protocol.system;[Feature Envy -> TestProtocolManager.testVerifier, Feature Envy -> TestProtocolManager.testProtocolFactoryMapping]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.protocol.http;Dispersed Coupling -> org.apache.oodt.cas.pushpull.protocol.http;[Dispersed Coupling -> HttpProtocol.parseLink, Dispersed Coupling -> HttpProtocol.get]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.filerestrictions.parsers;Dispersed Coupling -> org.apache.oodt.cas.pushpull.filerestrictions.parsers;[Dispersed Coupling -> DirStructXmlParser.parseDirstructXML, Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Dispersed Coupling -> DirStructXmlParser.replaceVariablesAndMethods, Dispersed Coupling -> DirStructXmlParser.parseVariablesXML, Dispersed Coupling -> DirStructXmlParser.parse]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.daemon;Feature Envy -> org.apache.oodt.cas.pushpull.daemon;[Feature Envy -> Daemon.calculateTimeTilNextRun, Feature Envy -> DaemonLauncher.configure, Feature Envy -> DaemonManager.setAsRunning]
Intra-componentBrain Methodorg.apache.oodt.cas.pushpull.expressions;Brain Method -> org.apache.oodt.cas.pushpull.expressions;[Brain Method -> Method.convert, Brain Method -> Method.execute]
Intra-methodFileRetrievalSystem.addToDownloadQueue;FileRetrievalSystem.addToDownloadQueue;[Brain Method -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue]
Intra-methodMethod.convert;Method.convert;[Brain Method -> Method.convert, Dispersed Coupling -> Method.convert]
Intra-methodRemoteSpecs.loadRemoteSpecs;RemoteSpecs.loadRemoteSpecs;[Brain Method -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs]
Intra-methodImapsProtocol.getMessageName;ImapsProtocol.getMessageName;[Feature Envy -> ImapsProtocol.getMessageName, Intensive Coupling -> ImapsProtocol.getMessageName]
Intra-methodMethod.execute;Method.execute;[Brain Method -> Method.execute, Dispersed Coupling -> Method.execute]
Intra-methodFileRetrievalSystem.initializeStagingArea;FileRetrievalSystem.initializeStagingArea;[Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.initializeStagingArea]
